B11,B12,B2,B3,B4,B8,EVI,NDVI,NDWI,SAVI,date
0.19640000000000002,0.1458,0.0582,0.09140000000000001,0.10300000000000001,0.18030000000000002,0.14190776912909384,0.2728556300741264,-0.3271991166728008,0.14802757564151667,2025-02-24
0.2887,0.25680000000000003,0.092,0.1288,0.15940000000000001,0.2308,0.11922254875768097,0.18298308559712967,-0.2836484983314794,0.1203100426870366,2025-03-06
0.2962,0.2849,0.0925,0.1374,0.167,0.22210000000000002,0.09001208873787045,0.14160884091493192,-0.23560500695410297,0.09295917219660332,2025-03-11
0.2854,0.25630000000000003,0.09960000000000001,0.1418,0.1794,0.2343,0.08777259065038052,0.13270485859318348,-0.24594522733315607,0.09012805078253257,2025-03-16
0.29610000000000003,0.2761,0.1032,0.1416,0.1721,0.2293,0.09610860944955979,0.1425012456402591,-0.23645187382043678,0.09518526736188151,2025-03-21
0.3063,0.2642,0.10840000000000001,0.1502,0.1824,0.2441,0.1011143887250082,0.14466588511137166,-0.23814354552371295,0.09989206691851055,2025-03-26
0.2901,0.2652,0.1136,0.14880000000000002,0.17320000000000002,0.2412,0.11901428171380561,0.16409266409266404,-0.23692307692307688,0.11154855643044617,2025-03-28
0.3079,0.2858,0.113,0.1486,0.184,0.24880000000000002,0.10761974357270979,0.1497227356746766,-0.2521389028686462,0.10420240137221272,2025-03-31
0.1222,0.0853,0.0539,0.0785,0.1003,0.1369,0.0685675746562254,0.15430016863406407,-0.2711234911792015,0.07447097124253933,2025-04-05
0.2582,0.1895,0.058300000000000005,0.1107,0.11910000000000001,0.19690000000000002,0.13193149058843479,0.2462025316455696,-0.28023407022106633,0.14301470588235296,2025-04-15
0.27240000000000003,0.2013,0.0502,0.09960000000000001,0.10260000000000001,0.20320000000000002,0.17437426332940442,0.32897318508829304,-0.3421400264200793,0.18726731198808638,2025-04-17
0.3798,0.3125,0.1302,0.1786,0.19390000000000002,0.3335,0.22954485661667984,0.26469472885855133,-0.3024799843780512,0.203815456492116,2025-04-20
0.3302,0.278,0.10940000000000001,0.1516,0.17700000000000002,0.27790000000000004,0.16601948137422667,0.22180699054737305,-0.2940628637951106,0.15849827207037387,2025-04-25
0.3422,0.2888,0.0995,0.1441,0.1698,0.27290000000000003,0.1667799022938303,0.23288908967698219,-0.3088729016786571,0.16405006895088578,2025-04-30
0.2462,0.16970000000000002,0.060200000000000004,0.0945,0.0847,0.2272,0.27747488122127895,0.4568772042321257,-0.412496114392291,0.2632713388348319,2025-05-10
0.3035,0.2212,0.0867,0.12560000000000002,0.1342,0.30760000000000004,0.29640012307271546,0.3924852874603893,-0.42012927054478305,0.276173285198556,2025-05-15
0.30760000000000004,0.2564,0.12340000000000001,0.15,0.16540000000000002,0.2878,0.22588026869417577,0.2700794351279788,-0.3147555961626314,0.19261435165757446,2025-05-20
0.24280000000000002,0.16840000000000002,0.0675,0.1014,0.1041,0.20750000000000002,0.1949692649998115,0.33183568677792047,-0.3434768533505989,0.1911039921143421,2025-05-27
0.27390000000000003,0.2102,0.1102,0.1326,0.1202,0.2712,0.3237842010464018,0.3857945835462443,-0.34323922734026746,0.2540946825218757,2025-05-30
0.24000000000000002,0.1588,0.028200000000000003,0.0661,0.0684,0.2586,0.3262435677530017,0.5816513761467889,-0.5928549430243302,0.34498186215235793,2025-06-09
0.2398,0.1413,0.0166,0.0736,0.0517,0.33190000000000003,0.46158408012651553,0.7304483837330552,-0.6369913686806412,0.47566772295156173,2025-06-14
